pl_name,hostname,pl_orbsmax,pl_masse,disc_year,distance_score,mass_score,habitability_score
KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,1.26,0.96,2021,0.26,0.040000000000000036,0.30000000000000004
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,1.16,1.43,2017,0.15999999999999992,0.42999999999999994,0.5899999999999999
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,1.14,2.1,2021,0.1399999999999999,1.1,1.24
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,1.45,1.8,2021,0.44999999999999996,0.8,1.25
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,0.883,2.32,2014,0.11699999999999999,1.3199999999999998,1.4369999999999998
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,2.77,1.19,2019,1.77,0.18999999999999995,1.96
Kepler-47 c,Kepler-47,0.9638,3.17,2012,0.03620000000000001,2.17,2.2062
MOA-2013-BLG-605L b,MOA-2013-BLG-605L,0.93,3.24,2016,0.06999999999999995,2.24,2.31
OGLE-2017-BLG-1806L b,OGLE-2017-BLG-1806L,1.91,2.68,2023,0.9099999999999999,1.6800000000000002,2.59
MOA-2007-BLG-192L b,MOA-2007-BLG-192L,0.62,3.3,2008,0.38,2.3,2.6799999999999997
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,1.78,3.54,2023,0.78,2.54,3.3200000000000003
OGLE-2018-BLG-0677L b,OGLE-2018-BLG-0677L,0.63,3.96,2020,0.37,2.96,3.33
HD 224018 d,HD 224018,0.53,4.2,2025,0.47,3.2,3.67
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,1.18,4.5,2018,0.17999999999999994,3.5,3.6799999999999997
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,0.65,4.447,2021,0.35,3.447,3.797
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,1.73,4.12,2023,0.73,3.12,3.85
OGLE-2019-BLG-1053L b,OGLE-2019-BLG-1053L,3.4,2.46,2021,2.4,1.46,3.86
MOA-2022-BLG-249L b,MOA-2022-BLG-249L,1.63,4.83,2023,0.6299999999999999,3.83,4.46
KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,2.48,3.98,2024,1.48,2.98,4.46
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,2.29,4.55,2022,1.29,3.55,4.84
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,1.85,5.55,2023,0.8500000000000001,4.55,5.4
OGLE-2018-BLG-0532L b,OGLE-2018-BLG-0532L,1.103,6.554,2020,0.10299999999999998,5.554,5.657
Kepler-87 c,Kepler-87,0.676,6.4,2013,0.32399999999999995,5.4,5.724
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,3.11,4.63,2023,2.11,3.63,5.74
MOA-2012-BLG-505L b,MOA-2012-BLG-505L,0.9,6.7,2017,0.09999999999999998,5.7,5.8
OGLE-2005-BLG-390L b,OGLE-2005-BLG-390L,2.6,5.5,2005,1.6,4.5,6.1
OGLE-2018-BLG-0383L b,OGLE-2018-BLG-0383L,1.8,6.4,2022,0.8,5.4,6.2
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,1.54,6.75,2023,0.54,5.75,6.29
OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,2.0,6.4,2022,1.0,5.4,6.4
KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,3.09,5.56,2022,2.09,4.56,6.6499999999999995
Kepler-51 d,Kepler-51,0.509,7.6,2014,0.491,6.6,7.090999999999999
KMT-2017-BLG-0849L b,KMT-2017-BLG-0849L,2.73,6.39,2024,1.73,5.39,7.119999999999999
KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,3.03,6.92,2022,2.03,5.92,7.949999999999999
Kepler-22 b,Kepler-22,0.812,9.1,2011,0.18799999999999994,8.1,8.288
TCP J05074264+2447555 b,TCP J05074264+2447555,0.5,9.2,2018,0.5,8.2,8.7
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,1.8,9.0,2018,0.8,8.0,8.8
Kepler-725 c,Kepler-725,0.6744,9.7,2025,0.3256,8.7,9.025599999999999
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,2.56,9.51,2023,1.56,8.51,10.07
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,3.1,9.2,2022,2.1,8.2,10.299999999999999
